"year","age","male","prop_remitted","educ","prop_cmig","log_npop","prop_self","prop_agri","prop_lessminwage"
1975,25,1,0.410881753,9,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1986,21,1,0.326372996,8,0.0942928,12.97154,0.1181392,0.0458326,0.1390484
1992,24,0,0.336294211,9,0.1141439,13.45741,0.1540989,0.0123472,0.1307149
1992,19,1,0.335049844,9,0.1141439,13.45741,0.1540989,0.0123472,0.1307149
1988,24,0,0.294834019,6,0.1029777,12.97154,0.1181392,0.0458326,0.1352272
1988,22,1,0.432906969,9,0.1029777,12.97154,0.1181392,0.0458326,0.1352272
1978,15,1,0.43110103,9,0.0632754,12.53177,0.1448254,0.0793179,0.1494865
1983,17,0,0.379725675,9,0.0818859,12.97154,0.1181392,0.0458326,0.1393506
1968,28,0,0.394257616,6,0.0223325,11.93164,0.2189914,0.1577223,0.1454793
1970,23,0,0.503059465,6,0.0322581,12.53177,0.1448254,0.0793179,0.1469026
1973,23,0,0.431785738,6,0.0434243,12.53177,0.1448254,0.0793179,0.1562987
1982,29,1,0.456418843,17,0.0794045,12.97154,0.1181392,0.0458326,0.13776
1983,25,0,0.349700234,6,0.0818859,12.97154,0.1181392,0.0458326,0.1393506
1981,35,0,0.310752164,12,0.0756824,12.97154,0.1181392,0.0458326,0.1362066
1993,23,1,0.421014491,9,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1995,23,1,0.366674102,9,0.1377171,13.45741,0.1540989,0.0123472,0.129828
1989,31,1,0.402198298,17,0.1066997,12.97154,0.1181392,0.0458326,0.1340105
1993,27,0,0.381566182,6,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1993,23,1,0.373396557,3,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1980,21,1,0.304509399,6,0.0707196,12.97154,0.1181392,0.0458326,0.1373002
1975,32,1,0.377868122,6,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1984,40,0,0.339571472,6,0.0880893,12.97154,0.1181392,0.0458326,0.138887
1986,17,1,0.399432417,8,0.0942928,12.97154,0.1181392,0.0458326,0.1390484
1975,16,1,0.414888775,9,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1975,20,0,0.365774203,9,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1975,22,1,0.43931896,9,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1975,23,0,0.426050057,9,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1975,17,1,0.415698917,9,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1975,19,1,0.44857178,9,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1994,48,1,0.374563423,6,0.1315136,13.45741,0.1540989,0.0123472,0.1302538
1994,47,0,0.323753135,6,0.1315136,13.45741,0.1540989,0.0123472,0.1302538
1995,27,1,0.372804959,6,0.1377171,13.45741,0.1540989,0.0123472,0.129828
1978,20,0,0.430444655,0,0.0632754,12.53177,0.1448254,0.0793179,0.1494865
1970,27,1,0.449342688,4,0.0322581,12.53177,0.1448254,0.0793179,0.1469026
1976,20,1,0.468506972,6,0.060794,12.53177,0.1448254,0.0793179,0.1482917
1972,19,1,0.448817283,0,0.0421836,12.53177,0.1448254,0.0793179,0.1565455
1995,25,1,0.345012431,8,0.1377171,13.45741,0.1540989,0.0123472,0.129828
1997,20,1,0.271152397,9,0.1476427,13.45741,0.1540989,0.0123472,0.1318591
1971,22,1,0.467549451,9,0.0384615,12.53177,0.1448254,0.0793179,0.1496652
1974,18,1,0.464552555,9,0.0459057,12.53177,0.1448254,0.0793179,0.1487976
1992,26,1,0.346365096,9,0.1141439,13.45741,0.1540989,0.0123472,0.1307149
1992,22,1,0.34639311,9,0.1141439,13.45741,0.1540989,0.0123472,0.1307149
1987,33,1,0.377703891,4,0.0992556,12.97154,0.1181392,0.0458326,0.1367292
1987,35,0,0.331364851,6,0.0992556,12.97154,0.1181392,0.0458326,0.1367292
1978,26,0,0.37786116,6,0.0632754,12.53177,0.1448254,0.0793179,0.1494865
1986,22,0,0.36739706,6,0.0942928,12.97154,0.1181392,0.0458326,0.1390484
1992,42,1,0.435067895,7,0.1141439,13.45741,0.1540989,0.0123472,0.1307149
1992,17,0,0.257444785,9,0.1141439,13.45741,0.1540989,0.0123472,0.1307149
1994,27,1,0.295163241,9,0.1315136,13.45741,0.1540989,0.0123472,0.1302538
1990,20,1,0.390448205,14,0.1091811,13.45741,0.1540989,0.0123472,0.1318839
1990,21,0,0.277330231,9,0.1091811,13.45741,0.1540989,0.0123472,0.1318839
