"year","age","male","prop_remitted","educ","prop_cmig","log_npop","prop_self","prop_agri","prop_lessminwage"
1997,17,0,0.478355387,9,0.113125,8.294049,0.2908615,0.2558278,0.1318591
1989,18,1,0.455056203,5,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1995,19,0,0.402698909,9,0.1,8.294049,0.2908615,0.2558278,0.129828
1979,17,1,0.476205815,11,0.0075,8.006368,0.1288541,0.4448909,0.1456347
1993,26,0,0.407975149,6,0.083125,8.294049,0.2908615,0.2558278,0.1302523
1989,16,1,0.443751052,9,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1994,18,0,0.350007445,6,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1995,18,0,0.218146342,11,0.1,8.294049,0.2908615,0.2558278,0.129828
1982,20,1,0.489530331,6,0.011875,9.21034,0.3403519,0.3503593,0.13776
1990,21,0,0.480149371,6,0.065625,8.294049,0.2908615,0.2558278,0.1318839
1989,31,1,0.45571928,4,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1994,33,0,0.392933542,2,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1970,33,1,0.424324764,0,0.001875,8.006368,0.1288541,0.4448909,0.1469026
1989,32,1,0.424781434,4,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,27,1,0.417047049,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,25,0,0.513146051,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,23,0,0.51408376,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,49,0,0.322630859,0,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,15,0,0.429896437,9,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,21,0,0.417085077,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,31,1,0.500394525,0,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,16,1,0.427408763,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,29,1,0.447547771,4,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1991,58,1,0.349972789,4,0.07375,8.294049,0.2908615,0.2558278,0.1311097
1993,60,1,0.428059906,6,0.083125,8.294049,0.2908615,0.2558278,0.1302523
1988,20,1,0.377447272,3,0.039375,9.21034,0.3403519,0.3503593,0.1352272
1997,19,1,0.356297295,10,0.113125,8.294049,0.2908615,0.2558278,0.1318591
1987,17,1,0.362708967,6,0.03375,9.21034,0.3403519,0.3503593,0.1367292
1991,15,1,0.271102973,6,0.07375,8.294049,0.2908615,0.2558278,0.1311097
